tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,accountId,nChamps
GRANDMASTER,nF5z8Y562WYA0n3nmxmmaMBn6GvCP7qOXCeMOHavV6wqJyg,설빙따까리,376,229,168,True,False,False,False,A-PfQIiKZ0qd09yR0hgl3ak0K4CUr3DzcXXt3f69wo88O3Q,8
GRANDMASTER,Fvq_LQgq9uueJsa176gHjGhSsQ8RoeiFUb3QsnEpc_snWtY,276뿡빵이158,292,132,107,False,False,True,True,DE3PQ25s0p1290P9nHeqE_zc2in09FJDCx77QsDbIuNB5lXdtz5FMExL,5
GRANDMASTER,JmMEMyr_lB_UqCAn7KeadPRKLwwcLsFjsHzvOwhqepdkye8,물에 젖은 장작,240,62,47,False,False,True,False,WOo1YB7P4bYo6Ojjf29jfBfCdRymBn-wl2WNlgXec4R0a_0,4
GRANDMASTER,6Tou-UGqfb2Sv51LgRgKvn8DEZ41wXJdZq-m4uPwNJqMIRo,SSG94,299,291,259,False,False,False,True,jNR8qrYuoRIzUnUgN383mE73hgTEIqMnQwIizsNW9dL-_vpiHEPxJCpy,5
GRANDMASTER,LjFXyM553mAq5UXmOA02zsxot_gJYkMv0tN2d3UL_MtABmg,hjhjhjhjhjh,243,170,147,False,False,True,False,yslkqIbj9UnnWaHFwnz4brLj_nWMGzhj6c_XWxmNe19a0VQ,14
GRANDMASTER,GqnfHKYZ-S9qzczc6QeNxDZIC4ckFdBD6znamyr2wMYdpYXEmtP0seUhmg,Betty777,548,191,177,False,False,False,False,R6Nm1Lg6CD43_pKUQd7LNLHT06KiT8fCERkmNhQ1cZpHL6SWZPGx17Of,9
GRANDMASTER,wNf1VVg8f8cR6O-862YII8qU5CUmLNvq0AD-4gDyr-5jlw,Riris1,302,149,137,False,False,True,False,e-iJX8LZYlOWt_5E-IrevsvTvZIKiy4gtQbaE1LnVd0,8
GRANDMASTER,jL7Jk3Qk0jMiuPnEJToAnkdwaCxpMRNAJYZqpzxjSGTs0Xo,Gen G Basic,548,464,425,False,False,True,False,PL5qoW45WyZ8Qnewb5rKYNhnpwM2I2Wc1zLGLYGOdg3kusYnAT0tWmR0,7
GRANDMASTER,DIjRFhdIAfd-7Qs_o_NAVajhW_PGBx5EPiGq9mgL9snTKw,정글챔탑으로가요,340,305,282,False,False,False,True,BxRv7SZ5Jy32th_588n74vrLbVZwsIUcPsosvncKm7Cs,6
GRANDMASTER,o-ay34kEIOh6TIIx8Lt_Jg934680ED50gsRaSjGB304oYA,Shadow2022,585,276,232,True,False,False,True,rINGcdUl1cxoGqGDctor605PYfYKxmTFGnxS0w1LTF8P,8
