tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
MASTER,-Ua7Fuk91FmLKfYE-ASyMy0lDU_XGWUldo3t16E3kt3scg,qwerdnvidldnsjlk,58,417,380,False,False,True,False
MASTER,YQ90-vDCogW98-HiScAJzkE8buPeefFDTP16SlbScZpkkisnmYGn8FV2Mw,23 세 아빠,35,153,133,False,False,True,False
MASTER,7yPOXBOVvLBCtMpGr1_RhXhmcJikxjGPsuf0IZ-Mk2KWysA,어비니케리,79,139,106,False,False,False,False
MASTER,raaR1TeH4e3FuEamifJ9s5ouUJx-ocSlqmkxTkuvIGk7Azg,T1 Fisher,118,448,425,False,False,True,False
MASTER,95wyjEFl93AhDLRsIWyLkHsTor1TOK8sOY56jmBxdsx2U4Y,CrazzyCat11,145,239,225,False,False,True,False
MASTER,51y9t-midQ4v-7pMPnmj1S0ZCE-ZyVzubm2hHB4lpeS8o84,현까츄,157,369,357,False,False,False,False
MASTER,Ur6FwtBmqcWMbuh2KnN97RcB-27_IwsiTG79R63o30vDQA,죽기 전에,1,96,70,False,False,True,True
MASTER,gO0QbuY9ZbKSK1JrvmLeJH3PzpGIl_cLtfYMUdOaNw0HC3c,죽다살다,112,154,133,False,False,True,False
MASTER,N4xIcsMcyTiFqnr0pikBZ6ysG_w6sfsA2wXR3fooU51RsyE,black kitty2000,4,92,81,False,False,True,False
MASTER,FIU8hBz3Zg_ltDCP49G8s9ekpBtLygl2ZwDuQiBDD0QmBpM,마지막마스터도전,0,317,286,False,False,True,False
MASTER,-Pje3xCd7aQjcB8r6n4C2-z74IKfgaDhfAhEf1kkINQ-42E,둘리 볼,39,112,99,False,False,False,False
MASTER,Ght1E5Gl6E_qxlHt5l_wwzgUZXjuWlrCQf6XUkGSGQ1Z7rKUwMC2uNeYdA,뉴비의 미드교실,1,65,29,False,False,False,False
MASTER,HXbR8As1rRmg5w0UL7jhHwQOeEX1gk-UFpQXaXrI_l4AMw,애니블랑,17,236,228,False,False,True,False
MASTER,bleAC9jwaXpWPqEWUck2fn6jOM3mdwnL6AH6bgADEdNwM-o,Sen Iin,183,159,132,False,False,False,True
MASTER,ubO_Tp6WCug_VZyjiJ49bgJSXEqoIc5zGqTwBHzb7aLKYEsp,아 이뿌다,0,132,117,False,False,False,False
MASTER,gCogIJgPAFOz-uQbpHYEkIO2kquWnv6OiiUtQLYimYFPdg,가드올리고바운스,22,128,104,False,False,True,False
MASTER,xtbT49NUVshAGIV_YfQccnyl_UICY1pOvnQb6l7yNoZINA,비상구길막,23,69,58,False,False,True,False
MASTER,Qqef5LFP_FzrMbINm0KQn1Nq8JXAqfgQ8xC4DLwaIKnVYW8,20210415Ahri,92,316,289,False,False,True,False
MASTER,0dRfcPMWRDkMLxEKs_lOVj3jy07OVUWL3hPeoBB6qZVT1toYG9feB9HB-Q,O3OII3,111,125,88,False,False,True,False
MASTER,ec-s0uhdpuPMuEMoZuPO5i71qrZ6ZFnpr2kf040xsAmr28g,Rosevary,0,654,627,False,False,True,False
MASTER,_OMwiXaK7LxYsGyO8Q04hIqNx2BY8n5_cQ-P3q3mErYLJiM,INHLIINHLIINHLI,77,116,96,False,False,False,False
MASTER,z8EWusqewOpE5Zq1imo8S9_cdELeYioKTOt8uquFDdPzBwY,PCS ad Hope,139,188,169,False,False,False,True
MASTER,grQWsyPW0x9o0KPw5-HU0eBiX4BRIzIuRl7-nH7SYPc9_aup0hQ3ahPsMw,zuanyiwodejia,155,283,239,False,False,True,False
MASTER,JNcr8yHYcKZAbgRV-ITtnvwwG4Zfs1Lla5hhZXpH1MNleZTDrmquvl-z5A,재수그리고롤,1,430,412,False,False,True,True
MASTER,Nbi-WuNNNn0pKJoLGXHl8V8QYxZiToLvIx3U8YW6hP3doZWIffMvnvzyag,개냥이중의개냥이는러시안블루에요,137,87,55,False,False,False,True
MASTER,463WwjeHWSv77B98MOJEW3tuQzGvtfujwiJcNJmXC8VHAC-5NZYio1-sTw,1128321,226,274,239,False,False,True,False
MASTER,fRYreEqfolMLP2G1qeqb4BNjKnTu160nu2fjZlSiKElorQ,실키1,220,288,280,False,False,True,False
MASTER,Hi37WhS9rFUeFf9j5Uc8WQ_IXOGqbplEmRbj0EFgz1XofVY,Keep Your Shine,44,136,101,False,False,False,False
MASTER,RUHy2L7TM-cuO36aQ4XvX5N5YSBCsjSfJx6KqD1FA1n-Ew,관종찬,1,241,233,False,False,True,True
MASTER,Wftd9vUGVvVmii2TYidY_-52Ur2cCDGj23aGgWYpIds1QGEHc2fbDu7rsA,인생이루시퍼,2,72,52,False,False,False,False
MASTER,hQGpQMbqPweo75_FvKtamZT6-7dazpuJmQaCnNdo-FNY0Bdt_02ybh7XYQ,페리글라스 블루,85,67,41,False,False,False,False
MASTER,YhRpbhMkR46kb1MPu5HlIEh62BaUPPoTSo5RddNwWILpetvLS1nJVZFV_Q,Arsainte,25,90,55,False,False,False,False
MASTER,HJY5vq7eU-Knw9t9UQ9bXkZBupY6L2Jm9ZxTURhfJ98ACPs,happy Byeol,0,36,30,False,False,False,False
